id,Record,Title,Cover Image Link,Author,Publisher,Date,Price,Pages,Binding,Tag,Publication Type,Note
126,62001,"Weird Tales, July-August 1923",https://isfdb.org/wiki/images/4/4b/WEIRDTJULAUG1923.jpg,Edwin Baird,The Rural Publishing Corp.,1923-07-00,$0.25,100,bedsheet,WEIRDTJULAUG1923,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?WEIRDTJUN1923"">Jun 1923</a>&#8592;Jul./Aug. 1923&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?WEIRDTSEP1923"">Sep. 1923</a><br/>
<!--isfdb specific-->

Volume II, Number 1.
Interior art credits per Jaffrey & Cook.
Additional content from the Girasol Collectible facsimile reprint of this issue."
127,62127,"Weird Tales, September 1923",https://isfdb.org/wiki/images/1/17/WEIRDTSEP1923.jpg,Edwin Baird,The Rural Publishing Corp.,1923-09-00,$0.25,100,bedsheet,WEIRDTSEP1923,MAGAZINE,"<!--isfdb specific-->
<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?WEIRDTJULAUG1923""> Jul./Aug. </a>&#8592; Sep. 1923&#8594;<a href=""http://www.isfdb.org/cgi-bin/pl.cgi?WEIRDTOCT1923"">Oct. 1923</a>
<!--isfdb specific-->

Vol II, No 2.
Data from the Girasol Collectibles facsimile of this issue."
128,33784,Sunfire,https://images-na.ssl-images-amazon.com/images/I/61ZLDUnbChL.jpg,Francis Stevens,Apex International,1996-00-00,$12.00,74,tp,BKTG17440,CHAPBOOK,"<br>A limited edition of 500 numbered copies
Issued without ISBN
A facsimile of the original first page of the magazine edition is included
Artist from Locus1, which notes an additional 60-copy special edition is also available ($18.00) though doesn't say what makes it 'special'"
129,484035,"Weird Tales, July-August 1923",https://www.isfdb.org/wiki/images/6/6c/WRDTLSJLGS0000.jpg,Edwin Baird,Girasol Collectables,2003-00-00,$35.00,96,tp,WRDTLSJLGS0000,ANTHOLOGY,Facsimile reprint of the July-August 1923 issue of <i>Weird Tales</i> with only the inside covers replaced by ads for the current publisher.
130,63964,The Nightmare and Other Tales of Dark Fantasy,https://m.media-amazon.com/images/P/0803292988.jpg,Francis Stevens,Bison Books,2004-00-00,$19.95,xxv+404,tp,THNGHTMRND2004,COLLECTION,Cover Design by R. W. Boeche.
131,725833,Weird Tales,https://www.isfdb.org/wiki/images/b/b9/WRDTLSHRRJ2019.jpg,uncredited,Pulp Classics on DVD,2019-00-00,,,other,WRDTLSHRRJ2019,ANTHOLOGY,"Electronic copy of 279 scanned issues of the magazine <i>Weird Tales</i> distributed on six DVDs. 
<ul>
<li>Disc One contains issues that originally appeared between 1923 through 1926 and also contains viewing software. 
<li>Disc Two contains issues from 1927 through 1930
<li>Disc Three contains issues from 1931 though 1935
<li>Disc Four contains issues from 1936 though 1940
<li>Disc Five contains issus from 1941 through 1947
<li>Disc Six contains <i>The Moon Terror and Other Stories</i>, scans of a Weird Tales Club card and letter, cover scans of all issues, an index and three files collecting short stories.
</ul>
The individual files are in a comic archive (.cbz) format.
No overall editor is listed for this selection of issues.

The May-June-July 1924 issue appears twice on disc 1.
The January 1927 issue is missing the inside cover and pages 1-2.
The April 1934 issue is missing.
The September 1934 issue is missing pages 397 to 400.
The December 1935 issue is missing pages 783 to 784.
The July 1938 issue is missing the inside front cover.
Data entry in progress"
132,789109,Sunfire,https://www.isfdb.org/wiki/images/a/a5/SNFRTHPLP2020.jpg,Francis Stevens,The Pulp Fiction Book Store,2019-03-00,$3.95,,ebook,SNFRQBXLLZ2019,CHAPBOOK,"Data from publisher's website. Unpaginated ebook. Formats: Kindle, EPUB.
Month from the website's monthly newsletter posts.
The <i>Weird Tales</i> illustration from Part 1 is the one shown in the book description. Used for the cover too."
133,789185,Sunfire,https://www.isfdb.org/wiki/images/9/97/SNFRRGL2020.jpg,Francis Stevens,Roy Glashan's Library,2020-04-03,A$0.00,,ebook,SNFRZVGHFS2020,CHAPBOOK,"Unpaginated ebook. Formats: HTML, EPUB.
The source edition is the <i>Weird Tales</i> publication."
134,576977,"Weird Tales, September 1923",https://www.isfdb.org/wiki/images/9/96/WRDTLSSPTM0000.jpg,Edwin Baird,Girasol Collectables,date unknown,,96,tp,WRDTLSSPTM0000,ANTHOLOGY,Facsimile reprint of the September 1923 issue of <i>Weird Tales</i>. Only the inside covers differ from the original being replaced by ads for the publisher.
135,292135,"The Thrill Book, August 1, 1919",http://www.philsp.com/data/images/t/thrill_book_19190801.jpg,Ronald Oliphant,"Street & Smith Publications, Inc.",1919-08-01,$0.15,164,pulp,THTHRLLBKG1919,MAGAZINE,"Vol. II No. 3.
Cover illustrates ""The Lost Empire"" by Frank Wall.
Speculative fiction content only. Data from the Bleilers' ""Science-Fiction: The Early Years"" and Richard Bleiler's ""The Annotated Index to The Thrill Book"".
Richard Bleiler qualifies the Riesenberg credit with a ""?"".
Nongenre fiction titles include:
""The Opium Ship"" (Part 3 of 4) by H. Bedford-Jones is a sea thriller.
""The Crystal Ball"" by James Cary Howes is a murder mystery.
Nongenre poems include:
""Hidden Pathways"" by Albert Owens (possibly a pseudonym of Harold Hersey)."
136,313991,"Argosy, August 16, 1919",http://www.philsp.com/data/images/a/argosy_19190816.jpg,Editors of Argosy,,1919-08-16,$0.10,,unknown,RGSGSTKWWM1919,MAGAZINE,Data from Fictionmags.
137,313992,"Argosy, August 23, 1919",http://www.philsp.com/data/images/a/argosy_19190823.jpg,Editors of Argosy,,1919-08-23,,,unknown,RGSGSTLHTC1919,MAGAZINE,Data from Fictionmags.
138,313993,"Argosy, August 30, 1919",http://www.philsp.com/data/images/a/argosy_19190830.jpg,Editors of Argosy,,1919-08-30,,,unknown,RGSGSTBZKM1919,MAGAZINE,Data from Fictionmags.
139,313994,"Argosy, September 6, 1919",http://www.philsp.com/data/images/a/argosy_19190906.jpg,Editors of Argosy,,1919-09-06,,,unknown,RGSSPTMBRN1919,MAGAZINE,Data from Fictionmags.
140,673041,Claimed! and Avalon,https://images-na.ssl-images-amazon.com/images/I/51zWeQKE1SL.jpg,Francis Stevens,Black Dog Books,2018-02-06,$14.95,242,tp,CLMDVLNJCG2018,OMNIBUS,Data from Amazon.com as of 2018-07-05.
